"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Hollywood Brown","WR","PHI","","169.9","","","","","236.8","270.8","215.9","223.4"
"Mecole Hardman","WR","BUF","277.0","170.0","","","","","","","","223.5"
"Devin Neal","RB","NO","211.9","170.0","","","","","240.5","280.5","216.0","223.8"
"Seydou Traore","TE","MIA","279.5","170.0","","","","","","","","224.7"
"Audric Estime","RB","NO","237.4","170.0","","","","","","276.1","216.0","224.9"
"Nick Chubb","RB","FA","","169.9","","","","","240.9","273.3","216.0","225.0"
"Jahdae Walker","WR","CHI","","169.9","","","","","241.0","273.4","215.9","225.0"
"Jalen Milroe","QB","SEA","","170.0","","","","","241.0","273.0","216.0","225.0"
"Deion Burks","WR","IND","","170.0","","","","","240.6","273.5","216.0","225.0"
"Kendre Miller","RB","NO","224.8","170.2","","","","","240.6","274.1","216.0","225.1"
"Cade Klubnik","QB","NYJ","","169.9","","","","","241.0","273.4","216.0","225.1"
"Kenneth Pickett","QB","CAR","","169.9","","","","","241.0","273.6","216.0","225.1"
"CJ Daniels","WR","LAR","","170.0","","","","","240.9","273.6","216.0","225.1"
"Ashton Dulin","WR","IND","","170.1","","","","","240.9","273.4","216.0","225.1"
"Will Howard","QB","PIT","","169.9","","","","","240.8","274.4","216.0","225.3"
"Jalen Royals","WR","KC","","170.0","","","","","240.7","274.4","216.0","225.3"
"Cedric Tillman","WR","CLE","","170.0","","","","","241.0","274.8","216.0","225.4"
"Ben Sinnott","TE","WSH","","170.0","","","","","241.0","274.8","216.0","225.4"
"Jarquez Hunter","RB","LAR","240.6","170.0","","","","","","275.3","216.0","225.5"
"Kalif Raymond","WR","CHI","","169.9","","","","","241.0","275.1","216.0","225.5"
"Phil Mafah","RB","DAL","","170.0","","","","","241.0","274.9","216.0","225.5"
"Isaac Guerendo","RB","SF","","170.1","","","","","240.9","275.7","216.0","225.7"
"Brenen Thompson","WR","LAC","","170.0","","","","","240.9","276.7","215.9","225.9"
"Eli Heidenreich","RB","PIT","","170.0","","","","","240.9","276.7","216.0","225.9"
"Jerome Ford","RB","WSH","","170.0","","","","","241.0","276.8","216.0","225.9"
"Tyson Bagent","QB","CHI","","169.9","","","","","241.0","277.0","216.0","226.0"
"Tanner Koziol","TE","JAX","","170.0","","","292.1","","","","216.0","226.0"
"Mo Alie-Cox","TE","IND","","169.9","","","292.4","","","","216.0","226.1"
"Calvin Austin III","WR","NYG","","169.9","","","","","241.0","277.6","216.0","226.1"
"Bryce Lance","WR","NO","","170.0","","","","","240.9","277.6","215.9","226.1"
"Will Kacmarek","TE","MIA","","170.0","","","292.2","","","","216.0","226.1"
"Marlin Klein","TE","HOU","","170.0","","","292.3","","","","216.0","226.1"
"Jake Tonges","TE","SF","241.4","170.5","","","274.1","213.9","227.5","241.4","215.3","226.3"
"Kirk Cousins","QB","LV","","169.9","","","265.3","","227.0","254.9","215.3","226.5"
"Tony Richardson Sr.","QB","IND","","170.0","","","","","241.0","279.5","216.0","226.6"
"Colts","DST","IND","219.0","170.1","","","264.5","","230.8","249.5","","226.8"
"Carson Steele","RB","PHI","284.0","170.0","","","","","","","","227.0"
"Tez Johnson","WR","TB","","170.0","","","","","240.9","281.1","216.0","227.0"
"Mike Trigg","TE","DAL","249.7","170.0","","","","","","273.2","216.0","227.2"
"Ted Hurst","WR","TB","239.6","170.3","","","255.1","230.3","237.4","261.4","199.4","227.6"
"Dillon Gabriel","QB","CLE","","170.0","","","","","240.9","272.9","","227.9"
"Mitch Trubisky","QB","TEN","","170.0","","","","","241.0","273.1","","228.0"
"Mike Penix","QB","ATL","227.9","170.1","","","274.6","","227.2","256.0","215.5","228.6"
"Davis Mills","QB","HOU","","170.0","","","","","241.0","274.9","","228.6"
"Zach Ertz","TE","FA","","170.0","","","","","241.0","275.4","","228.8"
"Rashod Bateman","WR","BAL","232.7","170.9","","161.0","257.8","313.5","236.3","259.1","203.8","229.4"
"Colby Parkinson","TE","LAR","251.4","170.4","","","247.2","288.8","204.8","232.4","211.6","229.5"
"Deshaun Watson","QB","CLE","","170.0","","","278.6","","226.1","259.5","214.9","229.8"
"Malachi Fields","WR","NYG","227.0","169.9","","","264.0","284.6","218.9","244.3","201.6","230.1"
"Shedeur Sanders","QB","CLE","236.1","169.5","","","273.3","","229.7","260.4","214.7","230.6"
"Buccaneers","DST","TB","232.4","169.6","","","264.0","","236.8","256.5","","231.9"
"Jaylin Noel","WR","HOU","213.7","170.8","","","285.8","","236.5","269.6","215.6","232.0"
"Emanuel Wilson","RB","SEA","250.3","170.2","","","239.3","337.5","195.5","215.5","215.9","232.0"
"Athan Kaliakmanis","QB","WAS","294.0","170.0","","","","","","","","232.0"
"Seth McGowan","RB","IND","","170.2","","","291.4","201.8","240.4","274.1","215.3","232.2"
"Chimere Dike","WR","TEN","229.4","170.2","","","291.5","","226.7","261.2","215.9","232.5"
"Mason Taylor","TE","NYJ","224.3","170.0","","","279.6","","234.2","271.7","215.6","232.6"
"Payne Durham","TE","TB","314.0","170.0","","","","","","","216.0","233.3"
"Evan Engram","TE","DEN","","170.0","","","256.9","265.5","234.9","261.2","213.3","233.6"
"Troy Franklin","WR","DEN","241.8","170.5","","","236.7","343.3","211.3","225.7","214.9","234.9"
"Panthers","DST","CAR","238.4","169.7","","","281.1","","233.5","253.6","","235.3"
"Jaylen Wright","RB","MIA","247.9","170.4","","","263.8","274.4","232.8","243.8","215.5","235.5"
"J.J. McCarthy","QB","MIN","224.2","169.6","","","287.2","","238.7","278.6","216.0","235.7"
"Kaleb Johnson","RB","PIT","217.5","170.1","","","290.4","","241.0","281.5","216.0","236.1"
"Marvin Mims","WR","DEN","219.5","170.1","","","286.7","","240.9","283.9","215.9","236.2"
"Elic Ayomanor","WR","TEN","241.5","170.0","","","285.0","","233.9","271.1","215.8","236.2"
"Theo Johnson","TE","NYG","232.2","170.3","","","290.8","","237.5","271.3","215.9","236.3"
"Kyle Williams","WR","NE","222.1","169.9","","","291.1","","239.4","280.3","216.0","236.5"
"Darnell Mooney","WR","NYG","249.2","170.7","","","219.9","343.6","226.4","234.3","213.9","236.8"
"Devontez Walker","WR","BAL","","170.0","","","281.2","","240.8","275.9","216.0","236.8"
"Carson Beck","QB","ARI","","169.7","","","287.9","","235.7","276.2","214.8","236.9"
"Chris Brooks","RB","GB","","170.2","","","286.2","","238.6","273.2","216.0","236.9"
"Germie Bernard","WR","PIT","231.3","170.6","","","257.0","315.7","231.6","255.2","200.3","237.4"
"Elijah Sarratt","WR","BAL","229.2","170.0","","","291.5","","239.7","280.6","214.8","237.6"
"Konata Mumpfield","WR","LAR","","170.0","","","291.5","","","273.4","216.0","237.7"
"Mac Jones","QB","SF","","169.9","","","289.2","","238.0","275.8","216.0","237.8"
"Jaylin Lane","WR","WSH","","170.0","","","291.9","","","273.4","216.0","237.8"
"Jackson Hawes","TE","BUF","327.7","170.0","","","","","","","216.0","237.9"
"Raheim Sanders","RB","CLE","","170.0","","","292.2","","","273.4","216.0","237.9"
"Will Shipley","RB","PHI","","170.1","","","291.6","","","273.8","216.0","237.9"
"Jawhar Jordan","RB","HOU","","170.1","","","291.4","","","273.9","216.0","237.9"
"Dont'e Thornton Jr.","WR","LV","","170.0","","","292.4","","","273.7","216.0","238.0"
"Xavier Hutchinson","WR","HOU","","170.0","","","292.5","","","273.8","216.0","238.1"
"Andrei Iosivas","WR","CIN","","170.2","","","285.9","","240.2","279.5","215.4","238.2"
"Josh Palmer","WR","BUF","","169.9","","","290.3","","","277.1","215.8","238.3"
"John Metchie III","WR","CAR","","170.0","","","290.6","","241.0","273.8","216.0","238.3"
"Nick Westbrook-Ikhine","WR","IND","","170.1","","","292.1","","","275.2","215.9","238.3"
"Trevor Etienne","RB","CAR","","170.0","","","292.1","","","275.6","215.9","238.4"
"Luke Musgrave","TE","GB","","169.9","","","292.2","","240.8","273.8","216.0","238.5"
"Kevin Coleman Jr.","WR","MIA","","170.0","","","291.9","","241.0","273.8","216.0","238.5"
"Treylon Burks","WR","WSH","","170.0","","","292.2","","","275.9","216.0","238.5"
"Ty Johnson","RB","BUF","","170.4","","","289.4","","240.3","276.6","216.0","238.5"
"Zavion Thomas","WR","CHI","","169.9","","","292.5","","","276.3","215.8","238.6"
"Kareem Hunt","RB","FA","","170.0","","","291.6","","239.4","276.6","216.0","238.7"
"Justin Joly","TE","DEN","","170.0","","","292.2","","","276.8","216.0","238.8"
"Justin Fields","QB","KC","","169.9","","","289.8","","238.5","280.1","216.0","238.9"
"Luke McCaffrey","WR","WSH","","169.9","","","291.5","","240.8","276.2","216.0","238.9"
"Darnell Washington","TE","PIT","","169.4","","","289.1","","240.4","281.6","215.4","239.2"
"Samaje Perine","RB","CIN","","170.8","","","274.3","263.3","239.1","272.9","215.2","239.3"
"Skyler Bell","WR","BUF","","169.9","","","289.8","","240.8","280.5","215.9","239.4"
"DeMario Douglas","WR","NE","","170.1","","","291.2","","241.0","279.7","215.6","239.5"
"Jahan Dotson","WR","ATL","","170.4","","","290.2","","239.5","281.7","215.8","239.5"
"Ty Simpson","QB","LAR","241.8","169.9","","","291.7","","239.7","278.8","216.0","239.6"
"Tutu Atwell","WR","MIA","","170.0","","","291.6","","240.9","279.6","216.0","239.6"
"Ollie Gordon II","RB","MIA","","170.4","","","282.9","253.3","240.7","274.7","215.8","239.6"
"Jameis Winston","QB","NYG","","169.9","","","291.0","","240.6","281.2","216.0","239.7"
"Marcus Mariota","QB","WSH","","170.0","","","291.2","","240.3","281.0","216.0","239.7"
"Oscar Delp","TE","NO","","170.0","","","292.1","","240.7","280.3","216.0","239.8"
"Joe Flacco","QB","CIN","","169.9","","","290.5","","240.5","282.4","216.0","239.9"
"Mack Hollins","WR","NE","","169.9","","","291.4","","240.5","281.6","216.0","239.9"
"Isaiah Bond","WR","CLE","","169.9","","","291.8","","240.9","281.0","215.9","239.9"
"Darius Slayton","WR","NYG","","170.3","","","287.9","","240.6","284.6","215.9","239.9"
"Dawson Knox","TE","BUF","","169.7","","","291.7","","240.6","282.1","215.8","240.0"
"Tyler Higbee","TE","LAR","","169.8","","","292.1","","240.9","281.8","216.0","240.1"
"Olamide Zaccheaus","WR","ATL","","170.0","","","291.6","","240.8","282.3","216.0","240.1"
"Ja'Tavion Sanders","TE","CAR","","169.9","","","292.2","","240.8","282.1","216.0","240.2"
"Devin Singletary","RB","NYG","","170.1","","","290.0","","241.0","284.0","216.0","240.2"
"Emari Demercado","RB","KC","","170.3","","","268.4","284.4","238.3","263.8","215.9","240.2"
"Xavier Legette","WR","CAR","","170.8","","","289.1","","240.9","285.2","215.4","240.3"
"Kendrick Bourne","WR","ARI","","170.0","","","292.7","","241.0","282.8","215.9","240.5"
"Noah Gray","TE","KC","","169.9","","","292.6","","","283.7","216.0","240.6"
"Commanders","DST","WAS","","169.6","","","282.2","","240.8","273.4","","241.5"
"Eli Raridon","TE","NE","","169.9","","","291.6","254.5","241.0","277.2","214.9","241.5"
"Eli Stowers","TE","PHI","238.0","169.9","","","274.9","302.6","232.6","259.0","214.8","241.7"
"Bengals","DST","CIN","241.2","169.8","","","289.1","","240.4","269.3","","242.0"
"Malik Williams","RB","","242.0","","","","","","","","","242.0"
"Tory Horton","WR","SEA","228.7","170.5","","","285.0","295.2","234.6","267.7","214.1","242.2"
"Najee Harris","RB","NYG","212.3","169.9","","","","337.6","240.6","279.9","215.9","242.7"
"Nate Sudfeld","QB","","243.0","","","","","","","","","243.0"
"Matt Hibner","TE","BAL","","170.0","","","","343.9","","","215.9","243.3"
"Manny Wilkins","QB","","244.0","","","","","","","","","244.0"
"Trey Lance","QB","LAC","","170.0","","","291.2","","241.0","274.5","","244.2"
"Jake Browning","QB","TB","","170.0","","","291.2","","241.0","274.4","","244.2"
"J'Mari Taylor","RB","JAX","","","","","","","","272.9","216.0","244.5"
"Haynes King","QB","CAR","","","","","","","","273.2","216.0","244.6"
"Tyler Huntley","QB","BAL","","170.0","","","291.1","","240.9","276.9","","244.7"
"Riley Leonard","QB","IND","","170.0","","","291.6","","","273.2","","244.9"
"Ra'Shaun Henry","WR","","245.0","","","","","","","","","245.0"
"Kyle Juszczyk","RB","SF","","169.9","","","292.2","","","273.2","","245.1"
"Andy Dalton","QB","PHI","","170.0","","","291.9","","","274.0","","245.3"
"Daniel Bellinger","TE","TEN","","170.0","","","292.2","","","274.5","","245.5"
"Mike Gesicki","TE","CIN","","170.3","","","254.3","328.9","237.3","270.9","211.4","245.5"
"Titans","DST","TEN","270.2","169.9","","","287.1","","238.6","262.3","","245.6"
"Darren Waller","TE","CAR","","170.2","","","289.8","289.7","240.9","275.2","208.2","245.7"
"Christian Kirk","WR","SF","241.7","170.1","","","272.7","343.5","233.3","244.6","215.7","245.9"
"Brett Gabbert","QB","","246.0","","","","","","","","","246.0"
"Trey Benson","RB","ARI","255.2","169.9","","","","336.8","231.5","268.0","216.0","246.2"
"Charlie Kolar","TE","LAC","","170.0","","","291.6","287.6","240.9","274.8","213.5","246.4"
"Sefo Liufau","QB","","247.0","","","","","","","","","247.0"
"Tanner McLachlan","TE","SF","325.0","170.0","","","","","","","","247.5"
"Erick All Jr.","TE","CIN","","170.0","","","","327.7","","276.3","215.8","247.5"
"Adam Randall","RB","BAL","","170.4","","","292.1","295.1","240.8","273.8","215.7","248.0"
"LeQuint Allen Jr.","RB","JAX","","170.4","","","283.3","310.2","239.8","269.4","215.7","248.1"
"Keon Coleman","WR","BUF","234.8","170.2","","","277.9","344.2","236.9","264.4","208.9","248.2"
"Raiders","DST","LV","279.3","169.7","","","284.4","","240.0","268.8","","248.4"
"Odell Beckham Jr.","WR","NYG","","169.2","","","","343.5","240.8","273.9","215.9","248.6"
"Malik Benson","WR","LV","","170.0","","","","334.3","","274.8","215.5","248.6"
"Nate Wieting","TE","","249.0","","","","","","","","","249.0"
"Lincoln Sefcik","TE","","249.0","","","","","","","","","249.0"
"Max Klare","TE","LAR","248.8","170.0","","","","342.5","241.0","276.9","216.0","249.2"
"Devaughn Vele","WR","NO","239.8","170.9","","","291.0","321.9","238.8","275.9","209.8","249.7"
"Chris Bell","WR","MIA","240.9","170.7","","","282.3","338.1","236.5","265.8","213.8","249.7"
"Luke Falk","QB","","250.3","","","","","","","","","250.3"
"Jack Bech","WR","LV","238.2","170.7","","","270.4","344.1","239.7","275.4","214.6","250.4"
"Mike Mayer","TE","LV","","170.3","","","287.9","309.3","240.0","280.6","214.3","250.4"
"Jacob Saylors","RB","DET","","170.0","","","","342.7","","273.2","216.0","250.5"
"Roschon Johnson","RB","CHI","","170.0","","","","343.8","","273.1","216.0","250.7"
"SaRodorick Thompson","RB","FA","332.0","170.0","","","","","","","","251.0"
"Cardinals","DST","ARI","273.0","169.7","","","292.4","","241.0","279.6","","251.1"
"Roman Wilson","WR","PIT","","169.9","","","","343.6","","274.9","215.9","251.1"
"Demarcus Robinson","WR","SF","","170.0","","","","343.9","","274.9","215.9","251.2"
"Kyle Shurmur","QB","","252.0","","","","","","","","","252.0"
"Jets","DST","NYJ","282.2","169.9","","","291.7","","240.6","276.6","","252.2"
"Brashard Smith","RB","KC","226.3","170.1","","","290.4","341.8","240.2","282.4","216.0","252.5"
"Derek Wright","WR","","253.0","","","","","","","","","253.0"
"Josh Adams","RB","","253.0","","","","","","","","","253.0"
"Elijah Arroyo","TE","SEA","","169.9","","","291.1","317.5","240.9","284.2","215.8","253.2"
"Drew Anderson","QB","","254.0","","","","","","","","","254.0"
"Gabe Marks","WR","","254.0","","","","","","","","","254.0"
"Tyquan Thornton","WR","KC","","170.3","","","288.9","336.8","238.9","276.3","213.6","254.1"
"Malik Davis","RB","DAL","","170.1","","","287.9","336.1","240.4","276.2","215.9","254.4"
"Jalen Tolbert","WR","MIA","","170.5","","","288.2","342.1","235.3","274.7","215.9","254.4"
"DJ Giddens","RB","IND","","170.2","","","285.8","335.4","240.8","279.1","215.9","254.5"
"Noah Short","WR","","255.0","","","","","","","","","255.0"
"Dolphins","DST","MIA","299.0","169.4","","","292.3","","240.8","274.9","","255.3"
"Spencer Brown","RB","","255.5","","","","","","","","","255.5"
"Isaiah Davis","RB","NYJ","","170.4","","","290.7","344.1","240.9","272.8","215.9","255.8"
"Marquis Young","RB","","256.0","","","","","","","","","256.0"
"Javon Baker","WR","FA","342.0","170.0","","","","","","","","256.0"
"Cole Kmet","TE","CHI","","169.7","","","287.8","337.8","240.8","284.4","215.9","256.1"
"Jordan Whittington","WR","LAR","","169.9","","","292.2","344.1","240.9","274.2","215.9","256.2"
"Eric Dungey","QB","","257.0","","","","","","","","","257.0"
"Ben Sims","TE","MIA","344.0","170.0","","","","","","","","257.0"
"Greg Dortch","WR","DET","","170.0","","","291.6","342.7","","274.1","215.9","258.9"
"Trevon Clark","WR","","259.0","","","","","","","","","259.0"
"Matt Seybert","TE","","259.0","","","","","","","","","259.0"
"DeShon Williams","TE","","260.0","","","","","","","","","260.0"
"John FitzPatrick","TE","FA","350.3","170.0","","","","","","","","260.1"
"Tahj Brooks","RB","CIN","","170.2","","","291.8","342.4","","281.0","216.0","260.3"
"Chamon Metayer","TE","","260.5","","","","","","","","","260.5"
"Jalen Morton","QB","IND","261.0","","","","","","","","","261.0"
"Tyree Mayfield","TE","","261.0","","","","","","","","","261.0"
"Reggie White","WR","","262.0","","","","","","","","","262.0"
"Jalen Hurd","WR","","262.0","","","","","","","","","262.0"
"Trayone Gray","RB","","263.0","","","","","","","","","263.0"
"Vyncint Smith","WR","","263.0","","","","","","","","","263.0"
"Mike White","QB","FA","356.5","170.0","","","","","","","","263.2"
"AJ McCarron","QB","","263.5","","","","","","","","","263.5"
"Trenton Cannon","RB","","264.0","","","","","","","","","264.0"
"Thayer Thomas","WR","","264.0","","","","","","","","","264.0"
"Chase Daniel","QB","","265.0","","","","","","","","","265.0"
"Josh Babicz","TE","","266.0","","","","","","","","","266.0"
"Drew Estrada","WR","","267.0","","","","","","","","","267.0"
"Easton Stick","QB","IND","364.8","170.0","","","","","","","","267.4"
"Devin Gray","WR","","268.0","","","","","","","","","268.0"
"Laquon Treadwell","WR","IND","367.0","170.0","","","","","","","","268.5"
"Marcedes Lewis","TE","FA","370.3","170.0","","","","","","","","270.1"
"Mante Morrow","WR","","270.5","","","","","","","","","270.5"
"Antoine Green","WR","FA","371.0","170.0","","","","","","","","270.5"
"Brian Lewerke","QB","","271.5","","","","","","","","","271.5"
"Deontay Burnett","WR","","271.5","","","","","","","","","271.5"
"Mike Weber","RB","","272.0","","","","","","","","","272.0"
"Tyrell Shavers","WR","BUF","375.6","170.0","","","","","","","","272.8"
"Jayden Ott","RB","FA","","","","","","","","273.2","","273.2"
"D'Eriq King","QB","","273.8","","","","","","","","","273.8"
"Alonzo Moore","WR","","275.0","","","","","","","","","275.0"
"Davis Webb","QB","","275.0","","","","","","","","","275.0"
"Elijah Tau-Tolliver","RB","BAL","276.0","","","","","","","","","276.0"
"Mathieu Severance","RB","","279.0","","","","","","","","","279.0"
"Baylor Cupp","TE","ARI","389.6","170.0","","","","","","","","279.8"
"Jacob Dolegala","QB","","281.0","","","","","","","","","281.0"
"Travis Homer","RB","PIT","392.0","170.0","","","","","","","","281.0"
"Cam Johnson","WR","","282.0","","","","","","","","","282.0"
"Kedon Slovis","QB","ARI","395.0","170.0","","","","","","","","282.5"
"Austin Stogner","TE","","283.0","","","","","","","","","283.0"
"Graham Adomitis","TE","","285.0","","","","","","","","","285.0"
"CJ Dippre","TE","NE","401.0","170.0","","","","","","","","285.5"
"Marquise Brown","WR","PHI","","","","","285.7","","","","","285.7"
"Jaxon Janke","WR","","286.5","","","","","","","","","286.5"
"Sal Cannella","TE","FA","404.8","169.9","","","","","","","","287.3"
"Lorenzo Lingard","RB","","287.5","","","","","","","","","287.5"
"Malcolm Epps","TE","","287.5","","","","","","","","","287.5"
"David Sills","WR","TB","405.0","170.0","","","","","","","","287.5"
"Rob Henry","RB","WAS","426.3","","","","","","240.9","273.1","216.0","289.1"
"Damarea Crockett","RB","","290.0","","","","","","","","","290.0"
"Louis Rees-Zammit","RB","FA","410.3","170.0","","","","","","","","290.1"
"Mike Wortham","WR","JAX","291.0","","","","","","","","","291.0"
"Austin Hooper","TE","ATL","430.0","170.0","","","","","","273.2","","291.1"
"Hunter Renfrow","WR","FA","414.7","170.0","","","","","","","","292.3"
"Jacob Warren","TE","","292.4","","","","","","","","","292.4"
"Cordarrelle Patterson","RB","FA","418.7","170.0","","","","","","","","294.3"
"Bryce Oliver","WR","TEN","420.0","170.0","","","","","","","","295.0"
"Jordan Thomas","TE","","295.3","","","","","","","","","295.3"
"Wilton Speight","QB","","296.0","","","","","","","","","296.0"
"Seth Green","TE","","297.0","","","","","","","","","297.0"
"Noah Brown","WR","LV","510.5","170.0","","","","","","","216.0","298.8"
"Tyler Eifert","TE","","299.0","","","","","","","","","299.0"
"Julian Williams","WR","","302.5","","","","","","","","","302.5"
"Eldridge Massington","WR","NO","303.0","","","","","","","","","303.0"
"Cedrick Wilson","WR","DET","524.3","170.0","","","","","","","216.0","303.4"
"Rivaldo Fairweather","TE","ARI","304.0","","","","","","","","","304.0"
"Jalen Reagor","WR","MIA","442.0","170.0","","","","","","","","306.0"
"Kenneth McIntosh","RB","FA","475.3","170.0","","","","","","273.4","","306.2"
"Jason Moore","WR","","306.3","","","","","","","","","306.3"
"Ty Fryfogle","WR","","307.0","","","","","","","","","307.0"
"Stephen Gosnell","WR","BUF","308.9","","","","","","","","","308.9"
"M.J. McFarland","TE","","309.0","","","","","","","","","309.0"
"Jason Bean","QB","","310.0","","","","","","","","","310.0"
"Foster Moreau","TE","HOU","450.6","170.0","","","","","","","","310.3"
"Tyrion Davis-Price","RB","FA","452.0","170.0","","","","","","","","311.0"
"Savon Scarver","WR","","312.0","","","","","","","","","312.0"
"Xavier Smith","WR","LAR","551.0","169.9","","","","","","","216.0","312.3"
"Miles Sanders","RB","FA","494.3","170.0","","","","","","273.1","","312.4"
"D'Ernest Johnson","RB","FA","455.0","170.0","","","","","","","","312.5"
"Germone Hopper","WR","","313.0","","","","","","","","","313.0"
"Dez Fitzpatrick","WR","FA","456.0","170.0","","","","","","","","313.0"
"Andre Baccellia","WR","FA","458.5","170.0","","","","","","","","314.2"
"Josh Ferguson","RB","","315.0","","","","","","","","","315.0"
"Kyle Allen","QB","BUF","623.6","169.9","","","291.4","","","274.8","216.0","315.1"
"Ken Seals","QB","","316.0","","","","","","","","","316.0"
"Mike Pratt","QB","FA","462.0","169.9","","","","","","","","316.0"
"Tony Ratliff-Williams","WR","","317.0","","","","","","","","","317.0"
"Justin Stockton","RB","","318.0","","","","","","","","","318.0"
"John Wolford","QB","FA","466.7","170.0","","","","","","","","318.3"
"Cooper Rush","QB","ATL","467.8","170.0","","","","","","","","318.9"
"Mac Dalena","WR","BUF","319.0","","","","","","","","","319.0"
"Aleva Hifo","WR","","320.0","","","","","","","","","320.0"
"KJ Hill","WR","LAC","321.0","","","","","","","","","321.0"
"Matt Caldwell","QB","LAR","322.0","","","","","","","","","322.0"
"Deneric Prince","RB","FA","474.1","170.0","","","","","","","","322.0"
"Pierre Strong","RB","GB","523.0","170.0","","","","","","273.1","","322.0"
"Alex McGough","QB","","324.0","","","","","","","","","324.0"
"Rob Tonyan","TE","PIT","679.0","170.0","","","291.6","","","273.1","216.0","325.9"
"Darius Bradwell","RB","","326.0","","","","","","","","","326.0"
"Trenton Irwin","WR","SF","482.0","170.0","","","","","","","","326.0"
"Emmanuel Sanders","WR","","327.0","","","","","","","","","327.0"
"Kristian Wilkerson","WR","FA","485.0","170.0","","","","","","","","327.5"
"Robbie Ouzts","RB","SEA","486.0","170.0","","","","","","","","328.0"
"Corey Kiner","RB","ARI","487.0","170.0","","","","","","","","328.5"
"Chad Beebe","WR","","329.3","","","","","","","","","329.3"
"Stevo Klotz","TE","","330.0","","","","","","","","","330.0"
"Luke Farrell","TE","SF","491.0","170.0","","","","","","","","330.5"
"E.J. Williams","WR","LV","331.0","","","","","","","","","331.0"
"Dean Connors","RB","LAR","487.5","","","","291.4","","","","216.0","331.6"
"Gus Edwards","RB","FA","493.3","170.0","","","","","","","","331.6"
"Ameer Abdullah","RB","JAX","495.5","170.0","","","","","","","","332.7"
"Marcus Rosemy-Jacksaint","WR","","333.0","","","","","","","","","333.0"
"Chandler Brayboy","WR","JAX","499.0","170.0","","","","","","","","334.5"
"Montrell Washington","WR","FA","500.0","170.0","","","","","","","","335.0"
"Jaquarii Roberson","WR","","335.5","","","","","","","","","335.5"
"Skyy Moore","WR","GB","685.4","170.0","","","","","","273.2","216.0","336.1"
"Devon Allen","WR","","337.3","","","","","","","","","337.3"
"Kylen Granson","TE","TEN","505.0","170.0","","","","","","","","337.5"
"Jonathan Mingo","WR","DAL","570.1","169.9","","","","","","273.1","","337.7"
"Zavier Scott","RB","MIN","693.0","170.0","","","","","","273.2","216.0","338.0"
"Tai Felton","WR","MIN","692.7","170.0","","","","","","273.6","216.0","338.1"
"Marquez Valdes-Scantling","WR","DAL","629.8","170.0","","","","","","","216.0","338.6"
"Darrius Shepherd","WR","","338.8","","","","","","","","","338.8"
"Zamir White","RB","SF","631.7","170.0","","","","","","","216.0","339.2"
"Salvon Ahmed","RB","CHI","632.0","170.0","","","","","","","216.0","339.3"
"Dorian Thompson-Robinson","QB","FA","509.6","170.0","","","","","","","","339.8"
"Patrick Laird","RB","","340.5","","","","","","","","","340.5"
"Javon Leake","RB","","341.0","","","","","","","","","341.0"
"Josh Whyle","TE","GB","581.1","170.0","","","","","","273.1","","341.4"
"Adam Trautman","TE","DEN","639.8","169.9","","","","","","","216.0","341.9"
"Eric Tomlinson","TE","FA","514.0","170.0","","","","","","","","342.0"
"Devin Leary","QB","FA","515.0","170.0","","","","","","","","342.5"
"Mike Carter","RB","TEN","686.5","170.0","","","","","241.0","274.2","","342.9"
"Case Keenum","QB","CHI","516.0","170.0","","","","","","","","343.0"
"Mike Harley","WR","","343.3","","","","","","","","","343.3"
"DeeJay Dallas","RB","JAX","519.3","170.0","","","","","","","","344.6"
"Derrick Dillon","WR","","345.0","","","","","","","","","345.0"
"Graham Mertz","QB","HOU","521.5","170.0","","","","","","","","345.7"
"Barika Kpeenu","RB","TB","347.5","","","","","","","","","347.5"
"Collin Schlee","QB","","348.4","","","","","","","","","348.4"
"Tyrod Taylor","QB","GB","658.2","169.9","","","291.6","","","274.6","","348.6"
"Jacolby George","WR","","349.0","","","","","","","","","349.0"
"Chase Roberts","WR","LV","350.0","","","","","","","","","350.0"
"Jaren Kanak","TE","TEN","530.2","170.0","","","","","","","","350.1"
"Coleman Bennett","RB","","485.0","","","","","","","","216.0","350.5"
"Xavier Gipson","WR","NYG","531.0","170.0","","","","","","","","350.5"
"Will Mallory","TE","IND","531.5","170.0","","","","","","","","350.7"
"Kobe McCrary","RB","","351.1","","","","","","","","","351.1"
"Kazmeir Allen","WR","","351.5","","","","","","","","","351.5"
"Tay Martin","WR","DET","534.0","170.0","","","","","","","","352.0"
"Jalen Simmons","RB","","353.0","","","","","","","","","353.0"
"Tyler Johnson","WR","DAL","537.5","170.0","","","","","","","","353.7"
"Qadir Ismail","WR","CHI","354.0","","","","","","","","","354.0"
"A.T. Perry","WR","FA","538.0","170.0","","","","","","","","354.0"
"Hayden Large","TE","CHI","355.0","","","","","","","","","355.0"
"Josh Johnson","QB","CIN","544.0","170.0","","","","","","","","357.0"
"Trevontae Hights","WR","","357.7","","","","","","","","","357.7"
"Damien Alford","WR","","358.0","","","","","","","","","358.0"
"Bub Means","WR","NO","688.0","170.0","","","","","","","216.0","358.0"
"Jeff Wilson","RB","FA","547.5","170.0","","","","","","","","358.7"
"Noah Gindorff","TE","","359.0","","","","","","","","","359.0"
